"Bailieboro, Cavan Division",28,45,32,57,35,40,30,27,26,23,34,29,21,17,25
"Ballyjamesduff, Cavan Division",15,14,17,30,21,15,34,29,26,21,16,18,23,11,25
"Cootehill, Cavan Division",35,25,48,38,54,39,29,35,53,32,25,21,12,29,39
"Kingscourt, Cavan Division",16,23,21,53,19,16,19,21,18,14,16,20,13,23,11
"Mullagh, Cavan Division",3,9,10,4,12,12,8,8,9,8,7,4,9,6,10
"Shercock, Cavan Division",10,7,3,3,6,6,4,12,24,5,5,1,2,6,5
"Virginia, Cavan Division",10,15,30,28,21,22,26,27,28,32,21,17,16,20,13
"Ballyconnell, Cavan Division",10,12,15,12,15,18,24,20,7,18,7,7,24,9,24
"Belturbet, Cavan Division",1,5,9,10,17,7,13,26,14,14,15,15,15,25,13
"Blacklion, Cavan Division",1,1,0,4,1,2,9,1,4,2,0,1,0,1,5
"Dowra, Cavan Division",4,4,1,2,3,3,6,1,1,1,0,2,0,1,2
"Killeshandra, Cavan Division",5,10,3,8,3,6,6,4,6,2,0,1,2,1,2
"Swanlinbar, Cavan Division",1,3,2,1,0,5,3,4,1,3,0,0,2,4,8
"Arva, Cavan Division",4,3,6,3,8,9,7,2,3,2,1,6,3,8,2
"Ballinagh, Cavan Division",7,8,12,7,8,9,13,10,16,8,9,14,8,14,22
"Cavan, Cavan Division",146,141,145,158,144,147,120,126,103,124,118,118,134,149,175
"Kilnaleck, Cavan Division",5,3,16,6,12,11,19,18,8,5,13,8,18,12,10
"Clones, Monaghan Division",20,34,36,29,45,34,25,46,28,29,14,17,23,21,15
"Emyvale, Monaghan Division",11,18,13,13,14,11,14,18,9,9,11,5,6,7,5
"Monaghan, Monaghan Division",112,97,135,121,183,141,82,169,143,103,65,86,89,130,119
"Scotstown, Monaghan Division",6,8,9,5,7,9,14,22,16,10,3,10,9,10,14
"Ballybay, Monaghan Division",13,21,20,25,20,14,19,22,17,17,8,3,13,14,7
"Carrickmacross, Monaghan Division",64,73,58,59,82,93,71,57,49,45,41,41,48,60,71
"Castleblayney, Monaghan Division",70,48,34,43,82,93,81,42,39,62,50,38,43,58,56
"Rockcorry, Monaghan Division",0,3,1,2,2,2,3,7,0,2,1,1,2,4,4
"Ballintra, Donegal Division",6,1,1,7,0,4,4,14,3,5,7,3,0,4,2
"Ballyshannon, Donegal Division",29,23,22,28,35,34,26,21,26,14,10,12,18,7,28
"Bundoran, Donegal Division",31,28,25,30,36,29,20,27,31,37,22,32,35,25,28
"Donegal Town, Donegal Division",22,29,26,49,35,29,31,27,29,34,38,34,30,22,22
"Mountcharles, Donegal Division",2,2,3,0,7,0,2,4,5,2,0,2,2,2,3
"Na Cealla Beaga, Donegal Division",17,12,19,19,15,17,26,11,12,8,7,11,16,9,16
"Pettigo, Donegal Division",1,2,2,0,2,1,3,0,2,1,2,5,3,0,4
"Buncrana, Donegal Division",37,38,80,71,74,89,83,76,73,64,60,54,59,44,42
"Burnfoot, Donegal Division",4,12,12,15,8,19,14,13,14,10,8,14,11,13,14
"Carndonagh, Donegal Division",48,55,36,42,57,53,60,65,52,40,44,27,27,24,44
"Clonmany, Donegal Division",12,22,14,11,11,10,8,15,27,16,13,5,13,15,6
"Moville, Donegal Division",15,17,21,22,19,28,26,24,19,17,12,8,15,14,10
"Muff, Donegal Division",2,7,8,8,10,20,11,12,8,7,8,2,9,8,4
"Ballybofey, Donegal Division",47,42,57,57,90,63,64,63,70,68,54,49,46,57,44
"Carrigans, Donegal Division",16,14,18,14,10,14,8,10,13,6,3,9,6,4,6
"Castlefin, Donegal Division",14,6,9,7,16,14,9,10,14,12,24,12,11,12,6
"Convoy, Donegal Division",16,16,25,20,21,25,20,34,20,15,26,20,17,29,15
"Letterkenny, Donegal Division",203,155,203,221,303,322,236,173,249,213,207,265,218,233,268
"Lifford, Donegal Division",14,9,13,23,28,24,16,12,18,16,14,19,11,18,20
"Newtowncunningham, Donegal Division",20,6,10,9,13,24,14,15,19,12,12,22,19,9,11
"Raphoe, Donegal Division",50,22,19,26,38,37,43,41,27,11,13,23,32,19,11
"An Craoslach, Donegal Division",4,2,1,4,1,2,3,3,1,8,3,2,1,3,5
"An Fail Carrach, Donegal Division",9,7,8,13,15,28,23,16,12,10,12,7,5,11,8
"Carraig Airt, Donegal Division",11,10,5,6,17,11,10,13,8,7,1,16,8,8,5
"Dun Fionnachaid, Donegal Division",5,0,3,3,2,7,6,9,7,5,5,3,8,6,5
"Kerrykeel, Donegal Division",5,7,3,7,12,12,8,4,9,3,6,5,7,6,4
"Kilmacrennan, Donegal Division",16,8,8,16,8,12,20,11,16,17,8,10,9,10,14
"Milford, Co Donegal, Donegal Division",23,13,18,19,24,23,10,13,12,10,13,11,25,14,25
"Ramelton, Donegal Division",7,9,6,7,13,11,9,9,4,11,8,7,12,12,12
"Rathmullen, Donegal Division",3,0,0,7,2,1,5,2,2,8,3,6,7,2,3
"Ailt an Chorraiin, Donegal Division",3,2,9,9,7,7,11,3,4,2,3,4,3,8,10
"An Bun Beag, Donegal Division",20,49,27,32,22,47,53,34,19,21,9,12,11,21,29
"An Charraig, Donegal Division",16,2,8,4,4,9,5,3,1,2,6,2,4,4,3
"An Clochain Liath, Donegal Division",16,17,13,15,23,25,11,10,23,12,18,23,20,15,26
"Ard an Raitha, Donegal Division",6,4,4,2,5,12,8,5,0,4,3,3,6,4,12
"Clogher, Donegal Division",2,4,4,3,0,3,3,0,1,0,1,0,0,1,0
"Na Gleannta, Donegal Division",9,14,29,13,7,25,18,16,11,10,9,3,2,9,10
"Ballymote, Sligo Division",12,9,12,9,12,17,15,16,9,9,11,12,13,7,15
"Enniscrone, Sligo Division",13,10,3,9,11,12,20,6,7,9,15,13,18,7,18
"Gurteen, Leitrim Division",3,17,4,1,10,2,9,2,7,6,3,1,4,2,2
"Riverstown, Sligo Division",3,0,6,1,5,9,5,3,2,5,2,1,3,9,4
"Tubbercurry, Sligo Division",7,5,12,17,8,5,9,10,17,19,24,17,35,18,17
"Ballinamore, Leitrim Division",8,9,15,12,13,20,15,13,4,12,6,10,5,7,13
"Carrick-On-Shannon, Leitrim Division",24,37,23,51,61,65,62,50,55,48,47,49,43,77,68
"Carrigallen, Leitrim Division",2,4,1,2,5,3,1,0,1,2,1,3,1,1,6
"Drumshambo, Leitrim Division",12,10,7,5,13,16,8,11,6,13,12,10,9,7,4
"Kinlough, Leitrim Division",9,4,6,6,9,9,8,7,9,15,8,5,7,5,11
"Manorhamilton, Leitrim Division",15,20,15,15,29,11,15,15,4,8,8,14,16,14,24
"Mohill, Leitrim Division",16,12,24,13,10,18,25,13,14,6,9,16,10,6,15
"Collooney, Sligo Division",3,9,6,4,11,25,12,7,11,13,10,8,14,12,14
"Coolaney, Sligo Division",0,1,2,1,5,2,8,5,3,3,7,2,3,4,7
"Grange, Sligo Division",6,6,3,7,5,5,4,8,8,3,2,5,4,4,9
"Rosses Point, Sligo Division",0,0,1,1,3,1,4,4,1,2,5,2,0,1,2
"Skreen, Sligo Division",0,1,4,0,2,1,2,1,0,1,2,0,1,0,0
"Sligo, Sligo Division",167,124,133,160,179,249,197,174,146,114,98,138,124,147,148
"Ardee, Louth Division",19,8,13,34,30,26,42,43,44,33,27,28,25,42,38
"Castlebellingham, Louth Division",22,9,5,9,8,11,13,16,14,12,5,12,14,9,15
"Collon, Louth Division",0,2,2,3,7,5,6,3,3,3,5,5,3,2,5
"Louth, Louth Division",3,4,6,5,4,9,8,6,6,6,4,3,8,3,5
"Clogherhead, Louth Division",4,4,5,5,6,15,11,11,9,8,13,11,5,7,2
"Drogheda, Louth Division",182,137,119,131,152,195,190,171,164,174,164,227,204,183,190
"Dunleer, Louth Division",14,6,5,11,12,18,28,13,19,26,15,18,21,16,14
"Blackrock, Co Louth, Louth Division",10,11,8,13,23,22,11,22,9,18,20,20,12,16,25
"Carlingford, Louth Division",5,9,9,15,12,19,16,17,12,13,7,11,15,11,21
"Drumad, Louth Division",14,9,11,16,12,9,4,7,10,9,10,7,6,6,12
"Dundalk, Louth Division",209,146,161,175,227,331,252,237,191,206,176,171,201,224,339
"Hackballscross, Louth Division",1,3,1,2,3,2,0,1,2,2,2,2,1,1,5
"Omeath, Louth Division",6,2,2,4,2,2,3,2,6,4,2,4,5,2,4
"Crusheen, Clare Division",0,0,1,1,1,3,4,2,2,3,0,2,2,4,2
"Ennis, Clare Division",132,107,98,114,139,173,170,159,126,116,124,114,151,160,163
"Killaloe, Clare Division",13,18,11,16,22,28,38,37,24,21,26,22,21,25,24
"Newmarket on Fergus, Clare Division",4,10,8,4,7,12,7,18,8,6,6,5,11,8,8
"Scariff, Clare Division",3,12,8,7,7,21,13,12,9,5,10,19,8,12,9
"Shannon, Clare Division",89,48,73,70,74,102,79,75,46,30,46,39,34,34,38
"Sixmilebridge, Clare Division",7,2,10,6,17,9,18,7,11,5,5,2,9,8,6
"Tulla, Clare Division",8,2,5,7,5,11,3,7,8,8,12,8,5,6,7
"Ballyvaughan, Clare Division",1,1,0,2,0,3,3,2,2,1,1,2,3,4,1
"Corofin Co. Clare, Clare Division",8,5,2,0,2,4,2,1,6,6,1,11,6,7,4
"Ennistymon, Clare Division",38,25,37,28,16,27,26,30,17,18,11,20,27,24,24
"Kildysart, Clare Division",2,2,1,3,4,4,1,3,1,5,2,2,2,5,4
"Kilkee, Clare Division",17,20,17,11,27,44,30,43,26,23,8,13,19,34,21
"Kilmihil , Clare Division",2,3,6,3,1,8,4,4,10,7,4,4,4,5,3
"Kilrush, Clare Division",34,16,20,28,37,42,63,43,37,24,24,24,37,35,49
"Lisdoonvarna, Clare Division",10,0,3,3,9,5,7,5,5,15,1,9,21,12,8
"Miltown Malbay, Clare Division",7,13,3,16,7,12,10,8,23,8,5,7,13,3,11
"Ballycroy, Mayo Division",8,6,1,3,2,2,7,3,2,2,2,8,1,0,0
"Bangor Erris, Mayo Division",14,11,10,4,6,4,3,9,3,4,3,4,2,1,1
"BÈal an Mhuirthead, Mayo Division",20,25,10,24,20,16,20,22,18,8,19,10,18,18,13
"Gleann na Muaidhe, Mayo Division",2,3,8,7,10,5,8,3,9,3,3,2,0,0,4
"Ballina, Mayo Division",95,100,110,148,162,130,119,89,73,58,55,63,57,76,79
"Bonniconlon, Mayo Division",0,3,0,2,3,7,0,1,3,6,3,4,5,2,2
"Crossmolina, Mayo Division",12,5,6,8,20,11,16,6,7,4,9,3,6,3,5
"Killala, Mayo Division",14,7,2,3,8,13,10,4,5,2,2,5,9,3,4
"Balla, Mayo Division",1,5,2,0,4,4,2,4,10,5,6,6,4,4,5
"Castlebar, Mayo Division",58,66,62,71,95,125,146,117,68,108,105,108,91,68,88
"Partry, Mayo Division",1,2,5,0,2,1,4,7,4,5,0,4,1,4,2
"Ballindine, Mayo Division",1,1,1,7,5,5,2,2,3,0,2,0,1,2,1
"Ballinrobe, Mayo Division",19,35,29,25,22,21,19,17,12,24,13,12,23,19,23
"Claremorris, Mayo Division",31,18,37,43,56,58,48,23,27,17,21,23,21,24,33
"Cong, Mayo Division",4,4,7,4,3,2,1,3,1,6,4,4,3,3,5
"Kilmaine, Mayo Division",1,0,0,1,2,3,2,3,2,2,1,1,3,0,1
"Knock, Mayo Division",2,3,3,7,7,6,2,4,3,0,1,0,2,2,3
"Shrule, Mayo Division",3,1,1,0,0,4,1,1,3,5,2,2,6,4,4
"Ballyhaunis, Mayo Division",24,14,24,33,16,18,12,14,18,20,15,15,18,18,19
"Charlestown, Mayo Division",6,7,21,18,20,21,18,8,12,21,13,14,8,9,16
"Foxford, Mayo Division",3,2,9,6,11,6,18,10,10,9,12,5,5,6,9
"Kilkelly, Mayo Division",1,14,3,3,6,6,2,6,7,5,3,2,3,3,1
"Kiltimagh, Mayo Division",36,36,13,1,4,17,5,7,12,4,3,3,9,10,8
"Swinford, Mayo Division",5,12,17,22,18,19,17,19,28,22,15,15,11,13,21
"Gob an Choire, Mayo Division",1,4,5,3,4,10,2,3,7,12,6,1,4,4,7
"Keel, Mayo Division",0,3,0,2,5,6,4,2,1,7,0,4,4,6,6
"Louisburgh, Mayo Division",3,0,10,4,1,8,3,2,3,4,5,4,4,3,3
"Newport, Co Mayo, Mayo Division",1,1,4,6,4,3,8,3,0,6,4,5,3,3,2
"Westport, Mayo Division",29,22,29,50,32,72,62,62,88,62,69,51,51,41,47
"Ahascragh, Galway Division",2,1,0,1,1,4,0,2,1,3,3,4,9,9,5
"Ballinasloe, Galway Division",38,48,34,46,64,76,57,75,68,57,49,65,59,48,64
"Ballygar, Galway Division",1,4,7,5,8,2,2,8,4,7,5,4,1,5,3
"Creggs, Galway Division",0,1,0,0,0,0,3,0,1,0,2,2,2,2,0
"Kilconnell, Galway Division",0,0,5,3,6,3,6,7,1,1,2,2,3,4,5
"Kiltormer, Galway Division",0,0,0,2,1,3,0,0,1,1,1,1,2,2,1
"Mountbellew, Galway Division",2,6,1,6,8,15,9,8,6,3,8,5,10,5,7
"Moylough, Galway Division",1,3,0,1,5,0,2,2,3,4,3,0,4,0,3
"An Maim, Galway Division",3,2,5,0,3,3,2,2,1,7,0,3,6,2,5
"Carna, Galway Division",6,7,9,7,4,9,7,5,3,5,7,4,2,3,2
"Clifden, Galway Division",18,20,18,12,35,30,31,20,15,5,10,16,12,13,18
"Cloch na Ron, Galway Division",7,1,2,1,2,2,2,5,0,1,1,2,1,2,0
"Letterfrack, Galway Division",6,4,3,5,5,4,1,2,3,2,3,3,10,2,3
"Sraith Salach, Galway Division",0,0,0,0,2,0,0,1,0,1,0,1,0,0,0
"Aran More, Galway Division",20,21,31,27,39,38,35,42,33,35,47,30,33,31,52
"Athenry, Galway Division",10,19,23,22,7,17,16,16,35,26,12,20,12,21,15
"Gaillimh, Galway Division",230,215,323,371,377,397,370,323,340,322,236,278,290,242,324
"Leach Seoirse, Galway Division",4,6,8,16,20,16,14,25,26,16,15,16,17,10,17
"Monivea, Galway Division",0,1,0,5,3,3,1,4,4,6,4,1,8,2,4
"Ardrahan, Galway Division",1,0,3,0,0,5,1,1,0,0,4,2,2,5,3
"Craughwell, Galway Division",4,5,2,2,8,8,2,3,5,4,4,12,2,4,10
"Gort, Galway Division",13,8,15,23,14,24,28,11,15,12,17,17,22,23,19
"Kinvara, Galway Division",2,5,2,2,4,5,4,1,0,3,3,3,1,2,3
"Eyrecourt, Galway Division",7,0,1,1,1,4,6,5,1,0,4,4,3,8,6
"Killimor, Galway Division",2,0,6,1,1,5,5,2,4,8,1,4,3,3,9
"Kilrickle, Galway Division",1,1,0,1,0,3,3,4,2,2,0,4,5,2,3
"Loughrea, Galway Division",35,30,46,32,40,62,46,38,47,54,39,41,50,52,66
"Portumna, Galway Division",8,9,4,11,3,7,7,9,11,6,8,12,16,11,12
"Woodford, Galway Division",1,3,0,0,0,1,2,0,2,2,1,3,3,3,0
"An Cheathru Rua, Galway Division",7,14,8,26,17,13,10,7,16,18,11,8,11,7,9
"An Spideal, Galway Division",11,11,6,4,3,9,11,6,2,3,8,3,1,7,3
"Bothar Na Tra, Galway Division",72,79,60,60,89,111,85,58,68,49,59,47,51,54,46
"Cill Ronain, Galway Division",4,8,3,1,3,6,1,5,5,2,1,3,5,2,2
"Indreabhain, Galway Division",5,11,7,3,7,10,4,11,11,3,7,4,4,1,8
"Leitir Mor, Galway Division",5,9,7,4,6,21,3,2,5,3,7,2,2,5,2
"Maigh Cuilinn, Galway Division",3,2,5,5,3,10,6,1,7,2,1,5,0,1,1
"Oughterard, Galway Division",11,7,10,7,11,3,10,10,8,4,4,5,6,3,2
"Ros Muc, Galway Division",2,2,6,2,2,2,2,0,5,0,1,0,4,0,2
"Barnaderg, Galway Division",2,3,0,4,4,2,5,6,7,3,1,4,3,1,6
"Corofin Co. Galway, Galway Division",2,2,3,3,2,3,5,2,3,3,6,5,3,0,4
"Dunmore, Galway Division",10,10,1,8,2,6,13,10,6,8,5,3,6,9,2
"Glenamaddy, Galway Division",4,8,9,1,4,7,5,2,5,7,8,4,7,6,3
"Headford, Galway Division",7,9,15,5,2,7,4,4,11,6,10,7,18,17,9
"Milltown, Galway Division",0,0,2,2,2,2,3,1,2,2,0,1,0,4,1
"Tuam, Galway Division",48,58,45,78,88,82,59,66,78,73,55,74,74,78,94
"Williamstown, Galway Division",4,0,6,5,5,2,7,5,6,9,2,5,3,1,2
"Boyle, Roscommon Division",16,15,20,15,23,28,10,23,17,21,14,20,16,17,9
"Elphin, Roscommon Division",1,1,5,11,4,3,5,1,0,3,4,5,1,6,1
"Keadue, Roscommon Division",0,4,1,4,5,3,6,4,3,2,2,4,0,5,1
"Roosky, Roscommon Division",2,2,4,6,3,7,6,3,6,2,3,2,3,2,4
"Strokestown, Roscommon Division",9,8,8,6,10,11,12,8,8,3,5,2,6,0,3
"Ballaghderreen, Roscommon Division",33,23,18,14,20,15,34,25,28,21,35,22,17,20,22
"Ballinlough, Roscommon Division",12,6,11,5,8,10,5,9,4,5,8,6,3,5,9
"Castlerea, Roscommon Division",29,29,33,31,47,26,34,27,31,40,39,96,123,24,76
"Frenchpark, Roscommon Division",10,9,7,13,6,4,13,4,3,6,2,2,8,1,7
"Tulsk, Roscommon Division",2,0,0,2,1,2,0,3,2,2,3,3,0,0,1
"Drumlish, Longford Division",1,3,1,1,9,15,10,9,6,11,6,13,13,12,6
"Edgeworthstown, Longford Division",10,29,8,24,19,31,29,22,20,21,20,30,34,16,20
"Granard, Longford Division",27,24,21,16,20,14,10,22,22,9,11,19,26,24,14
"Smear, Longford Division",1,1,1,6,4,4,3,5,4,6,3,2,1,3,1
"Kenagh, Longford Division",1,3,1,1,1,7,3,10,6,5,7,1,4,1,2
"Lanesboro, Longford Division",2,2,5,1,3,10,8,5,9,9,7,7,11,1,10
"Longford, Longford Division",96,107,41,98,118,120,133,112,86,70,85,70,77,63,61
"Ballymahon, Longford Division",6,9,11,5,15,15,18,17,28,19,16,21,11,14,27
"Athleague, Roscommon Division",0,1,1,0,2,3,4,2,3,3,1,1,1,4,4
"Clonark, Roscommon Division",2,0,0,2,2,2,7,4,1,5,1,4,1,5,6
"Roscommon, Roscommon Division",37,23,49,50,91,55,61,45,39,46,42,55,45,42,47
"Taughmaconnell, Roscommon Division",0,1,0,1,0,0,2,0,2,2,1,0,0,0,2
"Mayfield, Cork City Division",53,29,19,25,42,65,49,48,44,58,65,46,54,71,82
"Anglesea Street, Cork City Division",206,213,185,200,221,212,252,228,253,260,233,207,217,217,214
"Blackrock, Co Cork, Cork City Division",40,37,38,32,45,77,46,38,34,57,38,36,48,36,53
"Bridewell Cork, Cork City Division",120,92,67,88,132,128,100,86,107,135,119,177,169,180,176
"Ballincollig, Cork City Division",34,40,23,49,41,40,34,47,48,46,41,46,39,42,65
"Blarney, Cork City Division",18,11,16,30,14,23,32,33,33,27,19,21,32,17,27
"Gurranabraher, Cork City Division",74,68,92,131,105,121,133,170,121,94,114,138,112,82,99
"Watercourse Road, Cork City Division",115,118,116,116,143,182,184,145,159,172,163,198,185,174,205
"Bishopstown, Cork City Division",24,13,18,19,26,46,61,45,32,38,26,24,31,36,49
"Carrigaline, Cork City Division",17,28,27,21,22,46,40,45,33,40,34,34,27,23,32
"Crosshaven, Cork City Division",7,12,3,9,12,16,16,11,12,10,5,3,10,17,6
"Douglas, Cork City Division",43,51,50,45,37,53,69,50,45,36,30,56,61,43,69
"Passage West, Cork City Division",26,26,7,17,18,38,35,21,20,14,24,11,18,17,17
"Togher, Cork City Division",61,37,45,30,52,74,64,50,62,29,28,41,53,39,53
"Carrigtwohill, Cork North Division",11,8,6,10,11,13,15,13,24,16,16,17,15,14,11
"Cobh, Cork North Division",63,72,61,50,80,89,88,80,64,44,25,60,48,50,72
"Glanmire, Cork City Division",28,43,33,24,26,32,25,22,25,41,18,25,34,36,63
"Watergrasshill, Cork North Division",2,5,6,0,4,2,3,2,3,1,3,4,3,6,7
"Ballynoe, Cork North Division",1,9,4,4,1,3,2,3,1,2,2,5,4,3,9
"Castletownroche, Cork North Division",5,2,1,4,6,4,4,7,7,4,5,4,6,3,3
"Fermoy, Cork North Division",49,22,27,48,54,42,44,30,23,18,30,45,29,50,49
"Kildorrery, Cork North Division",3,5,7,0,4,7,0,3,1,5,2,3,5,3,6
"Kilworth, Cork North Division",1,0,0,4,5,5,0,4,2,1,4,1,0,6,2
"Mitchelstown, Cork North Division",42,24,15,17,17,27,23,12,11,26,26,17,25,21,24
"Rathcormac, Co Cork, Cork North Division",9,3,3,6,5,8,1,7,6,6,7,6,10,4,2
"Buttevant, Cork North Division",10,1,4,8,4,11,17,7,12,4,5,17,21,10,2
"Charleville, Cork North Division",23,31,23,15,33,18,24,35,34,22,23,19,24,17,36
"Doneraile, Cork North Division",4,1,10,5,6,6,7,6,2,3,12,7,1,4,5
"Glantaine, Cork North Division",6,3,7,3,5,3,3,1,3,1,3,5,10,2,4
"Liscarroll, Cork North Division",0,2,3,2,1,2,1,3,3,6,4,4,2,3,2
"Mallow, Cork North Division",79,63,84,59,78,83,87,76,53,71,61,78,86,58,83
"Milford, Co Cork, Cork North Division",0,1,4,0,3,5,3,4,3,1,4,0,3,1,1
"Ballycotton, Cork North Division",1,4,1,1,2,3,3,6,7,1,1,2,1,2,3
"Cloyne, Cork North Division",2,4,6,1,3,4,4,0,0,1,3,3,1,6,9
"Killeagh, Cork North Division",1,1,5,12,4,16,3,7,6,8,5,14,5,6,12
"Midleton, Cork North Division",26,28,18,27,37,51,37,36,38,37,31,46,58,63,74
"Whitegate, Cork North Division",4,4,3,5,2,8,4,5,0,3,0,4,2,4,4
"Youghal, Cork North Division",41,46,32,56,42,42,40,31,31,26,37,36,32,42,43
"Ballineen, Cork West Division",9,5,3,4,4,5,3,2,4,1,3,0,4,2,2
"Ballinhassig, Cork West Division",6,4,3,6,8,21,13,7,14,1,4,5,15,12,14
"Bandon, Cork West Division",68,35,36,37,65,55,51,47,43,53,35,35,45,46,68
"Innishannon, Cork West Division",5,2,0,3,3,5,3,2,0,3,3,3,3,3,5
"Kilbrittain, Cork West Division",1,1,0,0,0,2,3,0,1,1,0,3,4,3,4
"Kinsale, Cork West Division",40,67,47,49,82,91,71,54,53,48,44,37,49,36,47
"Timoleague, Cork West Division",4,1,3,0,4,3,6,10,5,5,4,8,6,8,17
"Ballydehob, Cork West Division",0,0,1,0,2,2,3,3,4,1,3,5,3,1,0
"Bantry, Cork West Division",29,32,31,23,27,43,34,43,19,30,20,22,16,30,45
"Castletownbere, Cork West Division",9,4,12,8,19,3,8,9,12,20,11,8,12,7,13
"Drimoleague, Cork West Division",5,5,5,0,5,5,7,4,2,6,6,3,1,3,3
"Durrus, Cork West Division",4,1,2,3,3,3,2,1,1,3,5,1,3,0,4
"Glengarriff, Cork West Division",0,2,3,3,2,2,5,3,1,1,3,0,2,2,5
"Kealkil, Cork West Division",2,0,1,2,0,0,0,1,2,1,1,2,3,2,4
"Schull, Cork West Division",3,3,4,15,3,10,6,5,8,8,12,19,11,12,9
"Baltimore, Cork West Division",2,4,0,3,1,1,2,1,1,1,0,0,3,1,2
"Clonakilty, Cork West Division",40,42,35,29,51,40,28,38,36,37,27,27,44,29,30
"Drinagh, Cork West Division",1,0,1,0,2,4,2,1,3,4,0,0,1,5,1
"Dunmanway, Cork West Division",6,17,11,22,25,18,27,16,12,13,10,17,18,10,9
"Rosscarbery, Cork West Division",5,5,7,6,4,6,6,4,3,4,1,3,6,3,5
"Skibbereen, Cork West Division",21,22,36,31,37,35,29,17,19,10,21,21,40,30,22
"Ballydesmond, Cork West Division",0,4,0,1,1,4,0,3,4,0,1,2,0,2,2
"Boherbue, Cork West Division",3,9,2,7,1,1,6,4,2,2,4,4,2,1,8
"Kanturk, Cork North Division",13,17,20,13,20,26,31,24,24,20,21,15,24,24,28
"Millstreet, Co. Cork, Cork West Division",14,2,8,13,14,5,15,18,19,18,17,15,11,6,15
"Newmarket, Cork North Division",19,13,16,11,5,14,12,15,13,11,9,9,5,11,15
"Rathmore, Co Kerry, Cork West Division",7,9,7,7,11,7,6,7,8,8,8,4,5,9,6
"BÈal aÅtha an Ghaorthaidh, Cork West Division",9,2,1,0,0,5,3,1,1,0,3,1,3,8,4
"Baile Bhuirne, Cork West Division",0,1,1,3,0,0,2,0,0,1,1,0,0,5,2
"Coachford, Cork West Division",5,5,5,9,8,10,7,5,9,3,7,6,10,5,6
"Crookstown, Cork West Division",5,10,2,8,11,11,7,3,3,6,6,7,25,19,7
"Macroom, Cork West Division",30,14,20,22,31,38,50,21,16,12,23,33,30,34,34
"Stuake, Cork West Division",4,2,2,3,0,3,4,3,6,4,3,3,8,6,11
"Tarelton, Cork West Division",0,0,0,1,1,3,2,2,2,3,3,3,3,4,1
"An Coirean, Kerry Division",4,1,1,4,9,9,5,7,1,8,2,5,9,3,4
"Barraduff, Kerry Division",0,0,1,1,0,0,0,2,0,1,0,0,0,1,0
"Caherciveen, Kerry Division",4,7,9,17,17,20,25,25,18,29,24,15,21,19,18
"Glenbeigh, Kerry Division",0,1,1,1,5,6,3,6,5,5,2,0,5,3,3
"Kenmare, Kerry Division",9,12,13,25,15,16,14,14,17,20,9,5,10,9,14
"Killarney, Kerry Division",56,75,65,144,133,94,83,90,87,83,89,92,116,98,116
"Killorglin, Kerry Division",17,33,29,8,25,34,23,26,23,18,26,32,25,20,26
"Portmagee, Kerry Division",2,2,4,6,4,1,3,8,1,3,2,1,5,3,1
"Sneem, Kerry Division",7,1,4,8,1,2,2,2,5,2,1,5,3,3,0
"Ballybunion, Kerry Division",21,22,23,23,21,35,26,28,10,7,13,6,12,8,12
